20MICRONS,20200713,32.85,33.85,31.85,33.45,187303
21STCENMGM,20200713,11.1,11.1,10.75,10.75,1829
3IINFOTECH,20200713,2.6,2.65,2.55,2.55,4260840
3MINDIA,20200713,19650,20100,19400,19936.2,3557
5PAISA,20200713,301.9,309.75,290,309.75,146960
63MOONS,20200713,73.2,75.9,71.2,71.85,19064
A2ZINFRA,20200713,5.1,5.1,4.9,4.95,125556
AARTIDRUGS,20200713,1374.95,1390,1342.05,1354.2,40805
AARTIIND,20200713,948,948,926.05,928.45,340589
AARVEEDEN,20200713,11.1,11.65,11.1,11.2,9644
AARVI,20200713,37.7,37.7,34.8,35.85,2325
AAVAS,20200713,1314.05,1340,1285,1290.85,43361
ABAN,20200713,27.1,27.9,26.15,26.35,61075
ABB,20200713,922,925.35,910,914.9,76574
ABBOTINDIA,20200713,15512,15650,15450,15493,8464
ABCAPITAL,20200713,62.5,62.8,59.6,60.25,2696934
ABFRL,20200713,122.2,122.5,119.3,120.2,1405102
ABFRL-RE,20200713,17.85,18.5,14.9,15.05,1475006
ABSLBANETF,20200713,229.71,229.71,220.1,222.99,277
ABSLNN50ET,20200713,265.67,268.22,260,261.84,55
ACC,20200713,1310.25,1353.5,1310.25,1346,1707292
ACCELYA,20200713,943.15,952.95,939,946.3,18224
ACE,20200713,62.55,64,60.45,61.5,333626
ADANIENT,20200713,161.45,162.45,154.35,156.05,2586181
ADANIGAS,20200713,152.65,157.5,152,153.85,1366841
ADANIGREEN,20200713,381,382.65,361.6,364.75,855922
ADANIPORTS,20200713,336.25,339.65,331.5,332.2,2187706
ADANIPOWER,20200713,34.9,34.95,34.4,34.7,3333128
ADANITRANS,20200713,243.95,253.15,240.1,251.15,442979
ADFFOODS,20200713,297.65,298.6,285.7,289.35,24300
ADHUNIKIND,20200713,21.25,22.25,20.65,21.65,27179
ADORWELD,20200713,260.1,262.1,253.3,255.55,25959
ADROITINFO,20200713,8.75,9.05,8.75,9.05,12504
ADSL,20200713,16.15,16.5,15.75,16.05,61944
ADVANIHOTR,20200713,45.1,45.15,44,44.15,2809
ADVENZYMES,20200713,164.5,167.05,163.25,163.95,88967
AEGISCHEM,20200713,181,190,179.65,186.65,624708
AFFLE,20200713,1780.55,1810,1701,1707.95,116042
AGARIND,20200713,90,90.05,87.45,87.7,17199
AGCNET,20200713,284.5,303.3,284.5,286.1,7756
AGRITECH,20200713,31.9,31.9,29.35,29.7,11539
AGROPHOS,20200713,12.65,13.75,12.6,12.75,54303
AHLEAST,20200713,140.05,143.8,136.8,139.95,1324
AHLUCONT,20200713,216.6,218,212.8,213.05,1500
AHLWEST,20200713,268.05,268.05,252.35,253.7,839
AIAENG,20200713,1643.05,1657.9,1633.55,1649.2,22917
AIONJSW,20200713,13.8,14.1,13,13,183583
AIRAN,20200713,12.7,13,12.45,12.75,73380
AJANTPHARM,20200713,1423.5,1426,1382,1388.2,144362
AJMERA,20200713,83.75,84.8,81.5,82.15,58078
AKASH,20200713,121.75,121.95,118,119.4,1488
AKSHARCHEM,20200713,220,230.65,218,223.75,80501
AKSHOPTFBR,20200713,4.75,4.75,4.75,4.75,68966
AKZOINDIA,20200713,1829.55,1868.95,1815.5,1853.7,7865
ALANKIT,20200713,17,17,16.1,16.3,86053
ALBERTDAVD,20200713,406.55,413,402.1,409.3,23292
ALCHEM,20200713,4.95,5.1,4.75,4.75,35126
ALEMBICLTD,20200713,82.5,85.45,81.8,82.4,1112005
ALICON,20200713,272.65,277.65,265.3,272.3,3875
ALKALI,20200713,46.95,48.2,46.05,47,34638
ALKEM,20200713,2425.85,2444.95,2351,2407,86902
ALKYLAMINE,20200713,2448.75,2464,2383.45,2393,51998
ALLCARGO,20200713,92.4,97.7,92.4,95.25,259850
ALLSEC,20200713,189,189,180.25,184.5,8335
ALMONDZ,20200713,10.8,11.3,10.6,11,2573
ALOKINDS,20200713,40.45,42,39.05,39.05,34487361
ALPA,20200713,20.2,20.35,19.75,20,29637
ALPHAGEO,20200713,181.65,184.9,175.05,176.6,22038
ALPSINDUS,20200713,1.25,1.25,1.25,1.25,4457
AMARAJABAT,20200713,697,712.4,694.1,698.2,792988
AMBER,20200713,1556.4,1563.4,1523.8,1538.25,33758
AMBIKCO,20200713,689,689,650,657.8,6955
AMBUJACEM,20200713,197.2,199.7,193.75,198.45,5213446
AMDIND,20200713,15.15,15.2,14.45,14.5,11258
AMJLAND,20200713,19.4,20.35,19.3,19.4,8242
AMRUTANJAN,20200713,370,385,367.1,380.9,256764
ANANTRAJ,20200713,23.15,23.3,22.9,23,101879
ANDHRACEMT,20200713,6.6,6.6,6.6,6.6,110545
ANDHRAPAP,20200713,232.45,234.75,227.6,229.1,120970
ANDHRSUGAR,20200713,257.9,274.9,257.05,267.95,267536
ANIKINDS,20200713,14.1,14.4,14.1,14.15,10236
ANKITMETAL,20200713,0.65,0.65,0.6,0.6,23768
ANSALAPI,20200713,4.05,4.3,4.05,4.25,112086
ANSALHSG,20200713,3.85,4,3.75,3.9,21221
ANUP,20200713,474,475.9,461.25,475.1,43920
APARINDS,20200713,339.95,341,333.05,335.4,9235
APCL,20200713,143,149.25,139.8,144.4,65970
APCOTEXIND,20200713,132,132.05,128,128.85,57249
APEX,20200713,232.95,233.4,225,225.45,159560
APLAPOLLO,20200713,1735,1794.5,1735,1776.65,30021
APLLTD,20200713,951,970,935.5,943.55,264209
APOLLO,20200713,107.5,124,105.15,120.35,1035026
APOLLOHOSP,20200713,1414.95,1442.9,1406.55,1431.45,769109
APOLLOPIPE,20200713,328,339,324,324.55,55210
APOLLOTYRE,20200713,114.35,115.25,112.25,114.1,3529042
APOLSINHOT,20200713,446,470.05,439,457.45,1618
APTECHT,20200713,108.75,110.45,105.8,106.25,186287
ARCHIDPLY,20200713,29,29.65,26.5,27.1,90968
ARCHIES,20200713,13.4,13.4,12.55,12.8,16652
ARCOTECH,20200713,3.05,3.05,3.05,3.05,6349
ARENTERP,20200713,11.45,11.45,10.45,10.85,146
ARIES,20200713,60.1,63.1,60.1,61.35,12467
ARIHANT,20200713,16,16,15.2,15.75,2826
ARIHANTSUP,20200713,26.05,26.05,24.5,25,1306
ARMANFIN,20200713,532.6,546,505,511.85,14141
AROGRANITE,20200713,26.05,26.1,24.15,24.85,7944
ARROWGREEN,20200713,43.2,47.15,43.2,45.7,2959
ARSHIYA,20200713,11,11,10.3,10.45,22808
ARSSINFRA,20200713,14.45,14.75,13.6,14.05,20145
ARTEMISMED,20200713,187.8,187.8,176.6,179.9,1413
ARVIND,20200713,34.2,34.75,32.8,33.2,1520222
ARVINDF-RE,20200713,47.45,50.5,31.5,38.15,725946
ARVINDFASN,20200713,166.8,166.8,157.05,157.05,199856
ARVSMART,20200713,84.1,85,79.4,81.2,119829
ASAHIINDIA,20200713,173.15,175.45,172.35,173,10787
ASAHISONG,20200713,152.9,170,152,161.5,188868
ASAL,20200713,19,20.05,19,19.05,1110
ASALCBR,20200713,259.7,259.7,248.6,252.65,38098
ASHAPURMIN,20200713,46.7,46.7,45.4,46.7,242538
ASHIANA,20200713,67.9,67.9,63.15,63.85,20726
ASHIMASYN,20200713,5.6,5.85,5.35,5.35,25442
ASHOKA,20200713,62.95,63.3,61.8,62.1,747023
ASHOKLEY,20200713,51.6,52.45,50.6,50.8,22919466
ASIANHOTNR,20200713,57.8,58.2,56.2,57.25,22886
ASIANPAINT,20200713,1708,1732.9,1700,1705.65,1289791
ASIANTILES,20200713,209.9,212,207.1,209.75,14439
ASPINWALL,20200713,132,135.85,122.5,125.7,40755
ASTEC,20200713,971.9,974,910.9,933.25,137770
