File_Name,Date,Open,High,Low,Close,Volume
ASMS,20230209,13.9,13.9,13.2,13.2,91848
ASMS,20230210,12.55,12.55,12.55,12.55,8167
ASMS,20230213,11.95,11.95,11.95,11.95,37703
ASMS,20230214,11.35,11.35,11.35,11.35,2170
ASMS,20230215,10.8,10.8,10.8,10.8,2560
ASMS,20230216,10.3,10.3,10.3,10.3,2537
ASMS,20230217,9.8,9.8,9.8,9.8,2588
ASMS,20230220,9.35,9.35,9.35,9.35,594
ASMS,20230221,8.9,8.9,8.9,8.9,4030
ASMS,20230222,8.45,8.45,8.45,8.45,786
ASMS,20230223,8.05,8.05,8.05,8.05,16924
ASMS,20230224,7.65,7.65,7.65,7.65,1855
ASMS,20230227,7.3,7.3,7.3,7.3,854
ASMS,20230228,6.95,6.95,6.95,6.95,582
ASMS,20230301,6.6,6.6,6.6,6.6,5021
ASMS,20230302,6.3,6.3,6.3,6.3,5830
ASMS,20230303,6.0,6.0,6.0,6.0,13323
ASMS,20230306,5.7,5.7,5.7,5.7,16248
ASMS,20230308,5.45,5.95,5.45,5.95,277700
ASMS,20230309,6.2,6.2,6.2,6.2,70751
ASMS,20230310,6.5,6.5,6.05,6.4,387350
ASMS,20230313,6.6,6.7,6.1,6.1,119462
ASMS,20230314,6.1,6.1,5.8,5.8,39798
ASMS,20230315,5.7,5.95,5.55,5.55,27948
ASMS,20230316,5.35,5.35,5.3,5.3,26133
ASMS,20230317,5.1,5.4,5.05,5.05,103875
ASMS,20230320,5.05,5.25,4.8,4.85,77741
ASMS,20230321,5.05,5.05,4.6,4.7,56301
ASMS,20230322,4.7,4.9,4.6,4.9,30338
ASMS,20230323,5.1,5.1,5.1,5.1,19395
ASMS,20230324,5.35,5.35,5.35,5.35,27167
ASMS,20230327,5.6,5.6,5.6,5.6,30328
ASMS,20230328,5.85,5.85,5.85,5.85,17032
ASMS,20230329,6.1,6.1,5.9,6.1,127565
ASMS,20230331,6.4,6.4,5.8,6.4,152257
ASMS,20230403,6.7,6.7,6.1,6.35,17604
ASMS,20230405,6.05,6.4,6.05,6.05,33489
ASMS,20230406,6.05,6.05,5.75,5.75,6641
ASMS,20230410,5.5,5.5,5.5,5.5,2582
ASMS,20230411,5.25,5.45,5.25,5.25,20076
ASMS,20230412,5.1,5.1,5.0,5.0,12516
ASMS,20230413,4.95,5.25,4.75,5.25,50829
ASMS,20230417,5.5,5.5,5.1,5.25,53698
ASMS,20230418,5.25,5.5,5.25,5.4,20564
ASMS,20230419,5.5,5.65,5.3,5.35,32097
ASMS,20230420,5.45,5.45,5.2,5.35,14923
ASMS,20230421,5.15,5.45,5.1,5.1,9175
ASMS,20230424,5.0,5.1,4.85,4.95,35974
ASMS,20230425,4.8,5.0,4.75,4.85,48359
ASMS,20230426,4.8,5.05,4.8,5.05,36368
ASMS,20230427,5.3,5.3,5.3,5.3,39120
ASMS,20230428,5.55,5.55,5.4,5.55,39885
ASMS,20230502,5.8,5.8,5.8,5.8,4825
ASMS,20230503,6.05,6.05,6.05,6.05,18341
ASMS,20230504,6.35,6.35,6.35,6.35,14740
ASMS,20230505,6.65,6.65,6.65,6.65,5259
ASMS,20230508,6.95,6.95,6.9,6.95,66661
ASMS,20230509,7.2,7.25,7.2,7.25,26417
ASMS,20230510,7.6,7.6,7.6,7.6,8061
ASMS,20230511,7.95,7.95,7.95,7.95,8074
ASMS,20230512,8.25,8.3,8.25,8.3,8919
ASMS,20230515,8.7,8.7,8.7,8.7,10654
ASMS,20230516,9.1,9.1,9.1,9.1,8706
ASMS,20230517,9.25,9.25,8.95,8.95,75016
ASMS,20230518,8.8,8.8,8.8,8.8,11537
ASMS,20230519,8.65,8.65,8.65,8.65,2501
ASMS,20230522,8.5,8.5,8.5,8.5,5882
ASMS,20230523,8.35,8.35,8.35,8.35,2220
ASMS,20230524,8.25,8.25,8.2,8.2,3667
ASMS,20230525,8.1,8.1,8.05,8.05,2001
ASMS,20230526,7.9,7.9,7.9,7.9,5686
ASMS,20230529,7.75,7.75,7.75,7.75,15558
ASMS,20230530,7.6,7.9,7.6,7.7,83618
ASMS,20230531,7.85,7.85,7.85,7.85,38847
ASMS,20230601,8.0,8.0,8.0,8.0,13734
ASMS,20230602,8.15,8.15,8.15,8.15,16241
ASMS,20230605,8.3,8.3,8.3,8.3,9517
ASMS,20230606,8.45,8.45,8.45,8.45,16029
ASMS,20230607,8.6,8.6,8.6,8.6,9265
ASMS,20230608,8.75,8.75,8.75,8.75,8290
ASMS,20230609,8.9,8.9,8.9,8.9,19594
ASMS,20230612,9.05,9.05,9.05,9.05,14067
ASMS,20230613,9.2,9.2,9.2,9.2,4811
ASMS,20230614,9.35,9.35,9.35,9.35,3671
ASMS,20230615,9.5,9.5,9.5,9.5,15975
ASMS,20230616,9.65,9.65,9.65,9.65,12443
