File_Name,Date,Open,High,Low,Close,Volume
BALLARPUR,20080331,32.0,35.0,26.85,27.8,4970824.0
BALLARPUR,20080401,28.5,29.9,26.9,27.15,1942846.0
BALLARPUR,20080402,28.15,28.75,26.85,27.05,593009.0
BALLARPUR,20080403,27.15,27.8,26.5,27.1,633295.0
BALLARPUR,20080404,27.3,27.5,26.8,26.9,291645.0
BALLARPUR,20080407,27.65,27.65,26.4,26.6,1553102.0
BALLARPUR,20080408,26.6,26.85,25.9,26.05,872545.0
BALLARPUR,20080409,26.45,26.45,24.9,25.0,1306029.0
BALLARPUR,20080410,25.1,26.5,24.95,25.4,1277594.0
BALLARPUR,20080411,25.6,26.5,25.6,26.2,1235485.0
BALLARPUR,20080415,25.9,26.35,25.3,25.4,833314.0
BALLARPUR,20080416,25.8,26.5,25.4,25.85,756219.0
BALLARPUR,20080417,26.45,27.3,25.9,26.8,1185691.0
BALLARPUR,20080421,27.3,28.0,26.85,27.75,1186943.0
BALLARPUR,20080422,27.0,28.35,25.7,27.75,872223.0
BALLARPUR,20080423,28.0,30.15,27.0,29.5,1879070.0
BALLARPUR,20080424,30.0,31.4,30.0,30.4,2042831.0
BALLARPUR,20080425,30.7,31.4,29.85,30.0,615244.0
BALLARPUR,20080428,30.2,31.2,29.85,30.45,809559.0
BALLARPUR,20080429,30.55,30.8,29.9,30.1,577148.0
BALLARPUR,20080430,30.3,30.85,30.1,30.3,599017.0
BALLARPUR,20080502,30.5,31.95,30.1,31.4,2427220.0
BALLARPUR,20080505,31.9,34.1,31.4,33.3,4223260.0
BALLARPUR,20080506,33.9,34.8,27.0,34.2,3411393.0
BALLARPUR,20080507,34.5,34.6,33.0,33.65,1324555.0
BALLARPUR,20080508,33.7,33.7,32.05,32.6,1145873.0
BALLARPUR,20080509,32.15,32.85,31.4,31.65,751105.0
BALLARPUR,20080512,31.5,32.7,29.5,32.05,1496988.0
BALLARPUR,20080513,32.5,33.8,32.3,33.3,1608547.0
BALLARPUR,20080514,33.45,34.95,33.25,34.1,1826251.0
BALLARPUR,20080515,34.5,34.65,33.3,33.7,779477.0
BALLARPUR,20080516,33.15,35.3,33.15,34.35,2545684.0
BALLARPUR,20080520,34.5,34.6,33.6,33.75,429263.0
BALLARPUR,20080521,33.3,34.1,33.3,33.85,419887.0
BALLARPUR,20080522,33.2,33.95,33.15,33.45,331174.0
BALLARPUR,20080523,33.65,34.35,33.2,33.4,514030.0
BALLARPUR,20080526,33.5,33.5,31.5,31.95,293933.0
BALLARPUR,20080527,32.2,33.25,32.1,32.55,1282227.0
BALLARPUR,20080528,32.95,34.1,31.5,33.75,1286509.0
BALLARPUR,20080529,34.0,35.05,33.05,33.8,2478613.0
BALLARPUR,20080530,34.1,35.2,33.55,34.8,1267137.0
BALLARPUR,20080602,35.0,35.85,34.0,34.25,1121158.0
BALLARPUR,20080603,34.25,34.7,32.85,33.45,480003.0
BALLARPUR,20080604,34.0,34.0,32.3,32.55,232236.0
BALLARPUR,20080605,32.5,34.5,31.1,34.05,1982540.0
BALLARPUR,20080606,35.5,35.5,33.6,34.25,769195.0
BALLARPUR,20080609,32.0,33.8,31.5,33.3,1059227.0
BALLARPUR,20080610,33.65,35.0,33.1,34.2,642899.0
BALLARPUR,20080611,34.5,35.35,33.95,34.8,771507.0
BALLARPUR,20080612,34.2,37.45,34.15,37.1,2618572.0
BALLARPUR,20080613,37.2,37.75,35.7,36.4,504770.0
BALLARPUR,20080616,36.85,37.8,36.4,37.15,806421.0
BALLARPUR,20080617,37.0,38.0,36.1,36.7,1286357.0
BALLARPUR,20080618,36.6,37.4,36.25,36.8,953069.0
BALLARPUR,20080619,36.5,36.8,35.5,35.65,213097.0
BALLARPUR,20080620,36.35,36.35,34.6,34.9,937909.0
BALLARPUR,20080623,30.05,35.25,30.05,33.85,583052.0
BALLARPUR,20080624,34.15,34.5,33.2,33.5,257474.0
BALLARPUR,20080625,33.0,33.8,32.65,33.5,191062.0
BALLARPUR,20080626,33.7,34.45,32.5,33.0,1107748.0
BALLARPUR,20080627,32.0,32.85,31.5,32.35,2613853.0
BALLARPUR,20080630,33.9,34.0,32.2,33.55,728324.0
BALLARPUR,20080701,33.5,33.75,31.85,32.15,245139.0
BALLARPUR,20080702,32.75,33.0,30.8,32.45,1014785.0
BALLARPUR,20080703,33.4,33.4,31.65,32.2,219502.0
BALLARPUR,20080704,31.55,32.5,31.55,32.2,251320.0
BALLARPUR,20080707,32.1,33.45,32.0,32.1,324974.0
BALLARPUR,20080708,31.5,32.4,31.5,32.2,174704.0
BALLARPUR,20080709,33.0,34.0,32.4,32.55,1090198.0
BALLARPUR,20080710,32.5,32.7,32.0,32.35,325371.0
BALLARPUR,20080711,33.4,33.4,31.5,31.75,103236.0
BALLARPUR,20080714,30.55,31.8,30.55,31.45,91061.0
BALLARPUR,20080715,31.15,31.4,30.05,30.35,146473.0
BALLARPUR,20080716,30.3,31.15,27.9,28.55,458964.0
BALLARPUR,20080717,29.8,30.3,28.6,29.3,241043.0
BALLARPUR,20080718,30.2,31.0,29.5,30.85,501241.0
BALLARPUR,20080721,31.3,32.0,30.4,31.75,285158.0
BALLARPUR,20080722,31.55,37.5,31.25,33.1,1538606.0
BALLARPUR,20080723,34.4,35.0,33.5,34.15,832303.0
BALLARPUR,20080724,34.2,34.5,32.85,33.2,341431.0
BALLARPUR,20080725,32.45,33.75,32.25,33.1,247983.0
BALLARPUR,20080728,33.05,33.9,33.05,33.8,83871.0
BALLARPUR,20080729,33.5,34.4,33.05,33.2,423329.0
BALLARPUR,20080730,33.1,33.5,32.55,32.85,540007.0
BALLARPUR,20080731,33.25,33.5,32.5,33.1,954479.0
BALLARPUR,20080801,32.5,33.2,32.2,33.05,159204.0
BALLARPUR,20080804,33.25,33.25,32.5,33.0,60151.0
BALLARPUR,20080805,32.5,33.5,32.5,33.15,243613.0
BALLARPUR,20080806,33.25,36.0,33.1,34.9,957872.0
BALLARPUR,20080807,35.75,36.45,34.3,34.7,920334.0
BALLARPUR,20080808,35.1,35.5,34.5,35.2,258926.0
BALLARPUR,20080811,36.0,36.0,34.15,34.3,477850.0
BALLARPUR,20080812,34.7,34.7,33.6,33.85,122667.0
BALLARPUR,20080813,33.5,35.1,33.3,33.8,445568.0
BALLARPUR,20080814,33.5,34.2,33.25,33.75,154391.0
BALLARPUR,20080818,33.8,33.95,32.55,32.8,111910.0
BALLARPUR,20080819,32.55,33.8,32.0,33.55,193814.0
BALLARPUR,20080820,33.0,33.8,32.8,33.25,97926.0
BALLARPUR,20080821,32.5,34.25,32.5,32.7,181604.0
BALLARPUR,20080822,32.5,33.0,32.5,32.65,48201.0
BALLARPUR,20080825,33.05,33.95,32.7,33.1,178550.0
BALLARPUR,20080826,32.8,33.2,32.75,33.0,275854.0
BALLARPUR,20080827,32.85,33.2,32.8,32.95,89556.0
BALLARPUR,20080828,33.15,33.3,32.65,32.8,703665.0
BALLARPUR,20080829,33.3,34.0,33.1,33.35,169831.0
BALLARPUR,20080901,33.0,33.5,32.85,33.4,101473.0
BALLARPUR,20080902,33.5,33.9,33.25,33.4,109865.0
BALLARPUR,20080904,33.5,35.4,33.0,34.7,1130864.0
BALLARPUR,20080905,33.75,34.7,33.75,34.05,386913.0
BALLARPUR,20080908,35.0,35.85,32.4,33.65,532068.0
BALLARPUR,20080909,33.7,34.05,33.1,33.25,104907.0
BALLARPUR,20080910,33.25,33.45,32.7,32.85,116911.0
BALLARPUR,20080911,32.7,32.9,32.1,32.25,141362.0
BALLARPUR,20080912,32.45,32.9,31.5,31.8,433181.0
BALLARPUR,20080915,31.0,32.95,29.8,32.05,557045.0
BALLARPUR,20080916,30.55,33.2,30.5,32.25,351094.0
BALLARPUR,20080917,32.0,32.0,31.0,31.15,89310.0
BALLARPUR,20080918,30.0,31.0,29.8,30.35,121676.0
BALLARPUR,20080919,31.0,31.95,30.75,31.6,161946.0
BALLARPUR,20080922,30.1,31.9,30.0,31.15,78470.0
BALLARPUR,20080923,31.15,31.3,30.1,30.25,68041.0
BALLARPUR,20080924,30.35,30.75,30.0,30.2,328503.0
BALLARPUR,20080925,30.0,30.55,28.4,28.95,892388.0
BALLARPUR,20080926,29.0,29.4,27.15,28.15,270773.0
BALLARPUR,20080929,28.0,28.8,25.4,27.3,1233201.0
BALLARPUR,20080930,27.05,28.5,26.05,28.35,154800.0
BALLARPUR,20081001,28.75,28.75,26.8,27.6,1566544.0
BALLARPUR,20081003,27.05,28.1,26.95,27.0,106625.0
BALLARPUR,20081006,26.4,27.2,25.1,25.9,146353.0
BALLARPUR,20081007,25.55,26.3,24.3,24.75,225784.0
BALLARPUR,20081008,24.25,24.65,20.9,22.7,2863787.0
BALLARPUR,20081010,22.0,22.5,18.2,20.95,184867.0
BALLARPUR,20081013,22.95,24.5,21.6,23.75,357946.0
BALLARPUR,20081014,26.0,26.0,24.0,25.0,368369.0
BALLARPUR,20081015,24.9,24.9,22.6,22.95,135800.0
BALLARPUR,20081016,22.0,22.7,20.2,20.9,344982.0
BALLARPUR,20081017,21.0,21.8,19.25,19.8,392156.0
