File_Name,Date,Open,High,Low,Close,Volume
FEL,20011105,3.2,3.2,3.0,3.2,2000.0
FEL,20011107,3.55,3.55,3.4,3.45,8700.0
FEL,20011108,3.1,3.1,3.1,3.1,100.0
FEL,20011109,3.6,3.6,3.6,3.6,5.0
FEL,20011112,3.4,3.5,3.4,3.5,1500.0
FEL,20011113,3.6,3.8,3.6,3.8,505.0
FEL,20011114,3.9,4.0,3.85,4.0,5700.0
FEL,20011115,4.2,4.2,4.05,4.15,3248.0
FEL,20011119,4.2,4.2,4.0,4.0,1000.0
FEL,20011120,3.9,4.1,3.9,4.1,1100.0
FEL,20011121,4.0,4.1,4.0,4.1,200.0
FEL,20011122,4.0,4.1,4.0,4.1,3700.0
FEL,20011123,4.05,4.2,3.85,4.2,5710.0
FEL,20011126,4.2,4.35,4.2,4.25,550.0
FEL,20011127,4.7,4.8,4.7,4.8,2202.0
FEL,20011128,4.6,4.6,4.6,4.6,200.0
FEL,20011129,4.65,4.8,4.65,4.8,1000.0
FEL,20011203,5.1,5.1,5.0,5.1,1501.0
FEL,20011204,5.5,5.55,5.3,5.55,2522.0
FEL,20011205,5.6,5.7,5.15,5.2,3225.0
FEL,20011206,5.0,5.0,5.0,5.0,400.0
FEL,20011207,4.8,5.0,4.8,5.0,6000.0
FEL,20011210,5.2,5.4,5.2,5.3,902.0
FEL,20011211,5.4,5.4,5.4,5.4,100.0
FEL,20011212,6.2,6.3,6.2,6.3,1395.0
FEL,20011213,6.35,6.4,5.8,5.95,2000.0
FEL,20011214,6.3,6.35,6.3,6.3,3500.0
FEL,20011218,6.6,6.85,6.6,6.85,2350.0
FEL,20011219,7.0,7.15,6.7,6.85,2202.0
FEL,20011220,6.6,6.8,6.25,6.25,16802.0
FEL,20011221,5.8,5.8,5.8,5.8,100.0
FEL,20011224,5.6,5.6,5.5,5.5,150.0
FEL,20011226,6.1,6.1,5.8,5.8,700.0
FEL,20011227,5.55,5.85,5.5,5.55,6678.0
FEL,20011228,5.6,5.6,5.2,5.45,8260.0
FEL,20011231,6.0,6.0,5.7,6.0,4181.0
FEL,20020101,6.3,6.35,5.8,5.8,2274.0
FEL,20020102,6.0,6.35,6.0,6.3,10586.0
FEL,20020103,6.4,6.8,6.4,6.7,15387.0
FEL,20020104,6.8,6.85,6.25,6.5,14403.0
FEL,20020107,6.0,6.45,6.0,6.45,8055.0
FEL,20020108,6.15,6.4,5.95,6.2,2258.0
FEL,20020109,6.25,6.25,5.65,5.65,3793.0
FEL,20020110,6.45,6.45,5.5,5.65,510.0
FEL,20020111,6.0,6.0,5.25,5.55,4162.0
