File_Name,Date,Open,High,Low,Close,Volume
FRETAIL,20160829,153.4,161.05,153.0,161.05,558999
FRETAIL,20160830,160.2,160.25,155.05,158.3,1141573
FRETAIL,20160831,157.75,160.0,150.4,159.6,885180
FRETAIL,20160901,156.0,160.0,152.0,156.95,134374
FRETAIL,20160902,152.0,158.0,152.0,157.25,69713
FRETAIL,20160906,153.0,160.0,153.0,159.25,98068
FRETAIL,20160907,159.0,160.05,157.1,158.9,101603
FRETAIL,20160908,155.0,160.0,155.0,156.85,35979
FRETAIL,20160909,155.0,160.0,155.0,158.65,128104
FRETAIL,20160912,153.1,157.0,151.5,154.25,67961
FRETAIL,20160914,155.9,160.0,150.55,154.25,399600
FRETAIL,20160915,153.2,155.9,150.5,153.35,184278
FRETAIL,20160916,153.9,157.75,142.3,149.35,764664
FRETAIL,20160919,151.1,153.75,150.0,151.05,153251
FRETAIL,20160920,151.0,151.0,148.0,150.4,82420
FRETAIL,20160921,151.85,153.85,150.25,152.0,297371
FRETAIL,20160922,152.0,153.65,150.25,151.6,80355
FRETAIL,20160923,152.1,152.6,147.1,147.45,66387
FRETAIL,20160926,146.15,147.55,142.25,145.45,129825
FRETAIL,20160927,145.15,149.0,143.0,145.2,229601
FRETAIL,20160928,142.65,149.0,142.65,147.6,96894
FRETAIL,20160929,148.05,150.9,146.95,148.25,276417
FRETAIL,20160930,137.2,151.5,137.2,150.0,62566
FRETAIL,20161003,150.0,159.2,150.0,157.15,119234
FRETAIL,20161004,154.0,159.7,153.9,159.2,39962
FRETAIL,20161005,157.2,160.0,154.6,159.2,160051
FRETAIL,20161006,157.2,159.9,154.75,156.75,303284
FRETAIL,20161007,155.35,158.7,153.1,155.4,68887
FRETAIL,20161010,157.4,158.7,151.9,152.45,22973
FRETAIL,20161013,150.3,153.0,145.55,147.85,82668
FRETAIL,20161014,148.05,159.9,148.0,156.1,145559
FRETAIL,20161017,159.9,159.9,151.0,153.4,164299
FRETAIL,20161018,157.0,158.1,151.2,155.9,222594
FRETAIL,20161019,155.0,160.0,152.0,155.25,2121972
FRETAIL,20161020,154.0,159.95,152.5,157.9,232500
FRETAIL,20161021,155.05,160.0,155.05,158.85,175308
FRETAIL,20161024,159.8,179.7,155.2,174.6,1721337
FRETAIL,20161025,175.0,175.0,165.0,168.55,228432
FRETAIL,20161026,168.2,172.95,165.1,170.0,466822
FRETAIL,20161027,170.0,171.0,163.35,168.15,148702
FRETAIL,20161028,167.0,174.35,165.6,166.4,285621
FRETAIL,20161030,168.4,171.75,168.1,170.15,65539
FRETAIL,20161101,170.65,171.0,165.5,166.8,86487
FRETAIL,20161102,164.0,165.5,158.5,160.0,421503
FRETAIL,20161103,160.0,161.0,156.0,157.7,173039
FRETAIL,20161104,157.05,158.9,148.0,150.0,126264
FRETAIL,20161107,153.1,157.3,152.8,154.35,553661
FRETAIL,20161108,154.0,155.05,146.05,147.05,445321
FRETAIL,20161109,122.3,144.05,122.3,140.15,300152
FRETAIL,20161110,142.3,146.05,142.0,142.45,77149
FRETAIL,20161111,140.2,142.45,130.5,134.5,366878
FRETAIL,20161115,133.0,139.0,124.0,127.1,310128
FRETAIL,20161116,129.8,135.9,125.65,134.35,492082
FRETAIL,20161117,131.95,133.0,128.25,129.95,200378
FRETAIL,20161118,128.8,130.5,126.1,127.3,237260
FRETAIL,20161121,128.1,128.15,118.75,123.15,325232
FRETAIL,20161122,123.95,129.5,121.1,126.6,246577
FRETAIL,20161123,127.35,135.65,127.35,133.45,287779
FRETAIL,20161124,133.0,135.95,130.85,133.75,174294
FRETAIL,20161125,133.65,138.05,130.1,134.65,349810
FRETAIL,20161128,135.95,135.95,127.65,128.35,252789
FRETAIL,20161129,129.9,133.4,124.0,124.65,373676
FRETAIL,20161130,125.0,126.9,120.0,123.1,349111
FRETAIL,20161201,121.15,125.5,121.15,121.9,179766
FRETAIL,20161202,121.85,121.85,119.2,120.15,126412
FRETAIL,20161205,118.0,121.75,115.45,120.15,363287
FRETAIL,20161206,121.1,130.0,120.15,122.55,1898080
FRETAIL,20161207,124.9,125.0,121.25,124.05,289110
FRETAIL,20161208,125.5,130.45,123.5,127.4,399190
FRETAIL,20161209,126.75,131.4,124.55,126.7,350824
FRETAIL,20161212,127.9,130.0,122.3,125.1,150689
FRETAIL,20161213,123.7,126.4,123.7,126.1,44811
FRETAIL,20161214,127.75,131.0,125.25,129.2,109454
FRETAIL,20161215,127.2,129.9,125.55,127.3,115842
FRETAIL,20161216,127.2,133.45,126.25,131.3,223484
FRETAIL,20161219,132.0,133.55,128.25,131.25,192921
FRETAIL,20161220,130.05,132.5,125.4,126.45,100103
FRETAIL,20161221,127.9,129.4,126.5,127.95,64454
FRETAIL,20161222,125.75,126.95,121.7,122.1,130733
FRETAIL,20161223,121.8,125.0,121.65,123.7,74986
FRETAIL,20161226,121.3,123.45,120.0,120.4,40503
FRETAIL,20161227,120.1,121.7,119.85,120.8,110577
FRETAIL,20161228,120.9,126.5,120.9,125.6,155221
FRETAIL,20161229,124.95,126.7,124.25,126.1,19774
FRETAIL,20161230,124.4,129.4,124.4,128.4,103495
FRETAIL,20170102,129.5,131.7,126.3,131.0,37821
FRETAIL,20170103,132.0,134.7,128.5,132.95,90352
FRETAIL,20170104,133.95,148.5,133.5,147.65,761336
FRETAIL,20170105,148.5,151.5,142.6,150.4,326679
FRETAIL,20170106,150.0,153.35,147.0,152.25,160098
FRETAIL,20170109,147.45,153.95,147.45,152.55,130748
FRETAIL,20170110,152.0,160.25,150.2,158.85,921735
FRETAIL,20170111,161.1,163.4,153.7,161.55,755021
FRETAIL,20170112,162.0,164.0,156.0,159.25,1287862
FRETAIL,20170113,156.25,164.0,156.25,162.4,607675
FRETAIL,20170116,158.0,164.0,158.0,162.85,55342
FRETAIL,20170117,162.05,164.0,158.2,163.5,83049
FRETAIL,20170118,161.05,166.55,160.5,165.5,86387
FRETAIL,20170119,165.55,167.0,162.1,165.6,76334
FRETAIL,20170120,165.05,172.0,165.0,165.4,158762
FRETAIL,20170123,165.95,167.35,164.45,165.2,68167
FRETAIL,20170124,164.0,174.0,164.0,171.1,274891
FRETAIL,20170125,172.4,172.8,169.0,171.75,622942
FRETAIL,20170127,170.2,174.9,169.05,172.0,176157
FRETAIL,20170130,170.0,175.9,168.85,172.55,159819
FRETAIL,20170131,170.75,174.45,169.95,173.3,70942
FRETAIL,20170201,169.45,177.5,164.55,172.45,142246
FRETAIL,20170202,171.6,179.7,170.35,174.1,160217
FRETAIL,20170203,173.1,184.2,170.0,178.85,225110
FRETAIL,20170206,180.1,191.8,180.1,189.0,183249
FRETAIL,20170207,189.5,226.8,181.4,221.05,3956692
FRETAIL,20170208,221.5,228.0,213.25,216.1,1752064
FRETAIL,20170209,217.0,221.0,206.1,219.15,769066
FRETAIL,20170210,220.0,225.75,212.9,214.45,816573
FRETAIL,20170213,216.0,225.5,210.95,214.45,563939
FRETAIL,20170214,215.95,220.5,214.55,215.75,188085
FRETAIL,20170215,215.0,217.9,198.15,211.3,465281
FRETAIL,20170216,213.0,222.0,206.1,219.5,710368
FRETAIL,20170217,221.0,226.0,215.6,221.6,567881
FRETAIL,20170220,220.7,233.0,218.25,230.3,750955
FRETAIL,20170221,230.3,261.8,230.0,244.75,3609426
FRETAIL,20170222,246.0,247.0,231.5,233.45,466411
FRETAIL,20170223,233.9,243.0,232.15,234.35,323662
FRETAIL,20170227,235.5,245.75,235.35,239.25,540567
FRETAIL,20170228,250.0,271.0,247.6,249.65,3916709
FRETAIL,20170301,253.75,260.1,253.75,259.2,1973299
FRETAIL,20170302,261.9,261.9,254.0,256.5,800345
FRETAIL,20170303,256.0,256.0,247.2,251.9,518082
FRETAIL,20170306,252.45,260.55,249.55,259.4,786840
FRETAIL,20170307,260.3,266.65,256.15,262.0,977208
FRETAIL,20170308,266.35,278.0,261.55,274.75,2093269
FRETAIL,20170309,273.0,274.7,267.0,270.6,650545
FRETAIL,20170310,272.35,273.9,261.1,263.1,484895
FRETAIL,20170314,266.85,272.0,262.6,264.95,425770
FRETAIL,20170315,264.35,274.5,262.0,267.7,805608
