File_Name,Date,Open,High,Low,Close,Volume
GOENKA,20100416,12.4,14.1,9.2,12.75,36830619.0
GOENKA,20100419,12.15,12.25,11.25,11.4,7103321.0
GOENKA,20100420,11.45,12.0,11.2,11.75,3328181.0
GOENKA,20100421,11.8,11.85,10.8,10.95,3361245.0
GOENKA,20100422,11.1,11.1,10.35,10.5,4058985.0
GOENKA,20100423,10.5,11.0,10.5,10.9,1719397.0
GOENKA,20100426,11.0,11.4,10.85,11.3,1216113.0
GOENKA,20100427,11.25,11.5,11.05,11.3,1049089.0
GOENKA,20100428,11.0,11.15,10.7,10.8,313229.0
GOENKA,20100429,10.9,11.0,10.6,10.7,328680.0
GOENKA,20100430,10.8,10.85,10.6,10.65,325653.0
GOENKA,20100503,10.7,10.8,10.5,10.6,137699.0
GOENKA,20100504,10.6,10.75,9.95,10.1,188905.0
GOENKA,20100505,9.8,10.4,9.6,10.25,404418.0
GOENKA,20100506,10.2,10.55,10.05,10.4,247939.0
GOENKA,20100507,10.2,10.45,9.8,10.3,288975.0
GOENKA,20100510,10.5,10.5,10.15,10.25,183212.0
GOENKA,20100511,10.25,10.4,9.8,9.9,64894.0
GOENKA,20100512,9.9,10.1,9.65,9.75,73017.0
GOENKA,20100513,9.8,10.5,9.8,10.35,231582.0
GOENKA,20100514,10.2,10.4,9.75,9.95,154711.0
GOENKA,20100517,9.55,10.05,9.5,9.75,59736.0
GOENKA,20100518,9.75,10.35,9.75,9.95,102323.0
GOENKA,20100519,9.95,10.3,9.55,9.6,164671.0
GOENKA,20100520,9.7,9.95,9.3,9.5,36436.0
GOENKA,20100521,9.0,9.4,8.85,9.0,49577.0
GOENKA,20100524,9.15,9.45,8.7,8.95,40111.0
GOENKA,20100525,8.8,9.1,8.5,8.55,65632.0
GOENKA,20100526,8.6,9.1,8.6,8.8,90327.0
GOENKA,20100527,8.9,9.0,8.7,8.9,38750.0
GOENKA,20100528,8.95,9.45,8.95,9.2,89577.0
GOENKA,20100531,9.2,9.5,8.9,9.0,40109.0
GOENKA,20100601,8.9,9.25,8.9,9.05,43363.0
GOENKA,20100602,8.0,9.25,8.0,8.95,32957.0
GOENKA,20100603,9.3,10.1,8.75,8.9,706276.0
GOENKA,20100604,8.9,9.0,8.7,8.75,50453.0
GOENKA,20100607,8.6,8.6,8.25,8.3,77497.0
GOENKA,20100608,8.4,8.6,7.85,7.9,91347.0
GOENKA,20100609,7.9,8.15,7.75,7.8,88571.0
GOENKA,20100610,7.9,8.15,7.85,7.9,122272.0
GOENKA,20100611,8.0,8.1,7.7,7.75,50018.0
GOENKA,20100614,8.6,8.6,7.7,7.75,31251.0
GOENKA,20100615,7.75,7.8,7.65,7.7,29316.0
GOENKA,20100616,7.7,7.8,7.55,7.65,29405.0
GOENKA,20100617,7.7,7.7,7.6,7.65,28164.0
GOENKA,20100618,7.65,7.7,7.45,7.5,26625.0
GOENKA,20100621,7.45,7.65,7.4,7.45,28372.0
GOENKA,20100622,7.5,7.65,7.4,7.5,29106.0
GOENKA,20100623,7.45,7.75,7.45,7.6,46001.0
GOENKA,20100624,7.65,7.85,7.55,7.65,42606.0
GOENKA,20100625,7.75,7.75,7.5,7.55,98728.0
GOENKA,20100628,7.9,7.9,6.8,7.6,20086.0
GOENKA,20100629,7.6,7.65,7.5,7.55,16871.0
GOENKA,20100630,7.5,7.55,7.45,7.5,9901.0
GOENKA,20100701,7.4,7.5,7.35,7.5,102609.0
GOENKA,20100702,7.45,7.55,7.25,7.35,22783.0
