File_Name,Date,Open,High,Low,Close,Volume
GOLDENTOBC,20080929,118.1,125.0,106.0,107.0,194414.0
GOLDENTOBC,20080930,101.0,113.0,97.2,108.9,153315.0
GOLDENTOBC,20081001,110.0,119.7,110.0,113.2,145350.0
GOLDENTOBC,20081003,112.0,116.75,106.9,108.05,74214.0
GOLDENTOBC,20081006,104.9,105.0,95.2,96.55,76372.0
GOLDENTOBC,20081007,98.5,102.2,88.0,88.5,111042.0
GOLDENTOBC,20081008,84.0,87.0,70.8,74.4,153466.0
GOLDENTOBC,20081010,72.0,72.4,59.95,68.5,176561.0
GOLDENTOBC,20081013,72.0,82.2,72.0,82.2,67631.0
GOLDENTOBC,20081014,88.9,97.8,85.15,86.55,154055.0
GOLDENTOBC,20081015,85.5,85.95,80.15,82.95,95528.0
GOLDENTOBC,20081016,75.0,84.65,71.1,82.7,55768.0
GOLDENTOBC,20081017,87.45,88.75,76.1,77.05,60751.0
GOLDENTOBC,20081020,78.0,79.95,73.05,75.35,33885.0
GOLDENTOBC,20081021,76.7,81.45,71.25,78.7,41856.0
GOLDENTOBC,20081022,74.0,79.5,74.0,77.5,12067.0
GOLDENTOBC,20081023,72.0,76.9,72.0,72.85,18695.0
GOLDENTOBC,20081024,71.35,74.4,60.15,61.85,39903.0
GOLDENTOBC,20081027,59.0,62.8,49.5,49.5,91179.0
GOLDENTOBC,20081028,56.85,59.4,51.0,57.0,41365.0
GOLDENTOBC,20081029,62.0,64.8,47.6,48.45,251776.0
GOLDENTOBC,20081031,53.0,53.45,49.0,50.6,55520.0
GOLDENTOBC,20081103,52.0,56.9,52.0,55.85,112695.0
GOLDENTOBC,20081104,56.0,59.7,53.45,58.95,82491.0
GOLDENTOBC,20081105,62.0,62.0,54.15,55.05,79135.0
GOLDENTOBC,20081106,53.95,55.95,50.35,54.05,34174.0
GOLDENTOBC,20081107,53.9,57.5,53.0,55.8,47796.0
GOLDENTOBC,20081110,55.2,58.0,55.2,57.45,37585.0
