File_Name,Date,Open,High,Low,Close,Volume
INDLMETER,19960117,80.0,80.0,80.0,80.0,100.0
INDLMETER,19960118,80.0,81.0,81.0,81.0,100.0
INDLMETER,19960123,80.0,82.5,72.5,82.5,3100.0
INDLMETER,19960213,75.0,75.0,75.0,75.0,100.0
INDLMETER,19960214,67.5,67.5,67.5,67.5,100.0
INDLMETER,19960215,62.15,62.15,62.15,62.15,100.0
INDLMETER,19960216,59.5,59.5,59.5,59.5,200.0
INDLMETER,19960301,55.0,55.0,55.0,55.0,100.0
INDLMETER,19960312,60.0,63.5,60.0,63.5,200.0
INDLMETER,19960313,61.0,61.0,61.0,61.0,100.0
INDLMETER,19960315,57.0,57.0,57.0,57.0,100.0
INDLMETER,19960401,57.0,62.0,62.0,62.0,100.0
INDLMETER,19960403,68.0,68.0,62.5,62.5,200.0
INDLMETER,19960404,68.0,68.0,62.5,62.5,300.0
INDLMETER,19960415,62.5,62.5,62.05,62.05,800.0
INDLMETER,19960416,62.75,62.75,62.75,62.75,100.0
INDLMETER,19960513,67.0,69.0,65.0,69.0,800.0
INDLMETER,19960514,68.3,75.9,68.3,75.9,1000.0
INDLMETER,19960515,73.0,77.5,72.5,76.25,800.0
INDLMETER,19960516,79.0,79.0,79.0,79.0,100.0
INDLMETER,19960520,79.0,72.0,72.0,72.0,600.0
INDLMETER,19960521,72.75,72.75,72.0,72.0,1000.0
INDLMETER,19960522,72.0,79.0,72.0,79.0,300.0
INDLMETER,19960528,71.0,71.0,71.0,71.0,200.0
INDLMETER,19960530,75.0,75.45,75.0,75.25,600.0
INDLMETER,19960531,77.5,77.5,77.5,77.5,100.0
INDLMETER,19960603,77.5,80.0,77.5,80.0,200.0
INDLMETER,19960610,79.85,79.85,79.85,79.85,100.0
INDLMETER,19960612,85.0,85.0,84.5,84.5,600.0
INDLMETER,19960613,80.6,82.0,80.5,82.0,300.0
INDLMETER,19960614,82.0,85.0,82.0,84.05,900.0
INDLMETER,19960617,82.0,85.0,82.0,83.0,800.0
INDLMETER,19960618,82.3,84.5,82.3,83.0,900.0
INDLMETER,19960619,90.9,90.9,80.25,83.75,900.0
INDLMETER,19960624,76.0,76.0,76.0,76.0,500.0
INDLMETER,19960625,82.0,84.0,81.0,81.0,800.0
INDLMETER,19960626,82.0,82.5,82.0,82.5,700.0
INDLMETER,19960627,82.0,82.0,82.0,82.0,300.0
INDLMETER,19960628,84.0,84.0,80.0,80.0,700.0
