File_Name,Date,Open,High,Low,Close,Volume
RNAVAL,20091009,61.1,61.1,53.85,56.7,81235962.0
RNAVAL,20091012,57.1,58.2,55.1,57.05,9271424.0
RNAVAL,20091014,57.45,57.5,54.9,55.35,4596981.0
RNAVAL,20091015,55.45,56.25,54.1,54.5,2171719.0
RNAVAL,20091016,54.4,57.85,53.5,56.95,3856718.0
RNAVAL,20091017,57.75,57.75,56.5,57.0,809810.0
RNAVAL,20091020,56.95,58.35,53.65,56.9,4950394.0
RNAVAL,20091021,56.85,58.0,55.3,55.75,2125547.0
RNAVAL,20091022,55.8,56.95,55.0,55.35,1033411.0
RNAVAL,20091023,56.7,57.25,55.0,55.3,1067782.0
RNAVAL,20091026,55.5,55.7,54.5,55.05,702805.0
RNAVAL,20091027,54.8,55.15,52.6,53.05,662204.0
RNAVAL,20091028,53.05,53.5,52.0,52.6,730155.0
RNAVAL,20091029,51.95,56.5,51.95,54.15,1073475.0
RNAVAL,20091030,54.6,55.4,52.05,52.9,629699.0
RNAVAL,20091103,52.95,53.75,50.1,50.9,1103329.0
RNAVAL,20091104,52.0,53.35,51.0,51.65,1254108.0
RNAVAL,20091105,51.8,53.5,51.0,52.65,914502.0
RNAVAL,20091106,53.0,54.7,52.8,53.55,488037.0
RNAVAL,20091109,54.3,57.75,53.2,56.65,1141644.0
RNAVAL,20091110,57.5,59.8,55.9,56.4,4024846.0
RNAVAL,20091111,57.5,58.5,56.5,56.8,2560208.0
RNAVAL,20091112,57.0,57.3,55.5,56.55,917303.0
RNAVAL,20091113,56.5,57.45,55.8,57.1,941415.0
RNAVAL,20091116,59.8,59.8,57.15,57.45,1789297.0
RNAVAL,20091117,57.65,57.85,56.3,56.8,423056.0
RNAVAL,20091118,57.0,58.4,56.3,57.4,2220234.0
RNAVAL,20091119,57.8,58.3,57.1,58.0,1874826.0
RNAVAL,20091120,57.9,58.35,57.3,58.05,2366370.0
RNAVAL,20091123,58.3,58.65,57.55,57.95,1300178.0
RNAVAL,20091124,58.4,58.4,56.65,56.8,1486618.0
RNAVAL,20091125,57.35,57.35,55.8,56.3,705693.0
RNAVAL,20091126,56.9,57.7,56.2,56.95,1170593.0
RNAVAL,20091127,56.1,56.5,54.1,54.95,1009172.0
RNAVAL,20091130,55.5,55.8,54.75,55.45,861644.0
RNAVAL,20091201,55.75,56.0,55.0,55.85,1965218.0
RNAVAL,20091202,56.1,57.1,55.5,55.9,1295850.0
RNAVAL,20091203,56.0,58.45,55.9,58.05,3503912.0
RNAVAL,20091204,57.75,58.4,57.1,57.4,885162.0
RNAVAL,20091207,57.65,58.0,56.25,57.1,457886.0
RNAVAL,20091208,57.5,59.7,57.35,58.95,6294169.0
RNAVAL,20091209,58.1,60.5,58.05,58.25,4970652.0
RNAVAL,20091210,58.5,58.55,57.0,57.4,970834.0
RNAVAL,20091211,57.8,58.35,55.25,55.5,1435534.0
RNAVAL,20091214,56.25,57.2,54.6,54.95,1190442.0
RNAVAL,20091215,55.4,56.35,52.45,53.2,2050407.0
RNAVAL,20091216,54.2,54.45,53.2,53.4,811706.0
RNAVAL,20091217,53.0,53.95,53.0,53.05,533303.0
RNAVAL,20091218,53.3,54.3,52.65,53.1,1841244.0
RNAVAL,20091221,53.3,53.65,52.1,53.05,1636351.0
RNAVAL,20091222,53.7,53.7,52.8,52.9,1805002.0
RNAVAL,20091223,53.5,53.85,52.2,52.95,569492.0
RNAVAL,20091224,53.1,53.7,52.75,53.3,820532.0
RNAVAL,20091229,53.85,54.25,53.15,53.55,614727.0
RNAVAL,20091230,53.15,54.95,53.15,54.8,847082.0
RNAVAL,20091231,55.15,55.8,54.0,54.2,576679.0
RNAVAL,20100104,54.7,55.45,54.2,54.9,530462.0
RNAVAL,20100105,55.7,56.7,54.3,55.85,1487807.0
RNAVAL,20100106,56.7,58.25,55.85,56.75,3278700.0
RNAVAL,20100107,57.4,58.35,56.4,57.0,2029996.0
RNAVAL,20100108,57.7,57.7,55.4,55.7,1490076.0
RNAVAL,20100111,55.1,57.25,55.1,56.25,3163559.0
RNAVAL,20100112,56.25,56.65,53.85,54.0,2714117.0
RNAVAL,20100113,54.15,54.7,53.4,54.45,724150.0
RNAVAL,20100114,54.95,57.8,54.2,55.25,6853515.0
RNAVAL,20100115,58.8,58.8,54.8,56.65,13221368.0
RNAVAL,20100118,56.15,57.75,56.1,56.45,2449750.0
RNAVAL,20100119,56.85,57.65,55.85,56.45,2705436.0
RNAVAL,20100120,57.0,57.0,56.0,56.35,1064714.0
RNAVAL,20100121,56.25,56.6,54.5,54.85,1245373.0
RNAVAL,20100122,53.9,55.85,53.0,55.6,1065727.0
RNAVAL,20100125,55.6,55.6,53.5,54.75,788893.0
RNAVAL,20100127,54.5,55.4,52.9,53.15,1926038.0
RNAVAL,20100128,54.0,55.0,52.9,54.65,1312427.0
RNAVAL,20100129,54.0,54.3,52.95,53.7,605298.0
RNAVAL,20100201,53.05,55.5,53.0,54.05,804333.0
RNAVAL,20100202,54.45,54.9,53.1,53.3,1005262.0
RNAVAL,20100203,53.75,56.7,53.45,54.95,1893043.0
RNAVAL,20100204,55.45,56.25,54.0,54.1,5075323.0
RNAVAL,20100205,53.05,53.8,52.5,52.8,696240.0
RNAVAL,20100206,53.3,53.45,52.2,52.5,366945.0
RNAVAL,20100208,53.1,53.4,51.85,53.05,818394.0
RNAVAL,20100209,53.25,53.5,52.6,52.8,304701.0
RNAVAL,20100210,53.4,53.75,52.7,53.0,548866.0
RNAVAL,20100211,53.25,53.85,53.1,53.4,383609.0
RNAVAL,20100215,53.4,54.0,52.8,53.55,497042.0
RNAVAL,20100216,53.85,54.0,53.15,53.7,475781.0
RNAVAL,20100217,54.1,56.2,53.65,55.65,1156910.0
RNAVAL,20100218,55.7,55.75,54.85,55.25,492146.0
RNAVAL,20100219,55.0,55.35,53.55,53.8,348984.0
RNAVAL,20100222,54.5,54.95,53.7,54.1,536192.0
RNAVAL,20100223,53.55,54.5,53.55,54.05,271985.0
RNAVAL,20100224,53.6,54.75,53.6,54.2,197616.0
RNAVAL,20100225,54.55,54.9,54.1,54.35,151171.0
RNAVAL,20100226,54.4,55.2,54.3,54.7,590977.0
RNAVAL,20100302,55.0,55.2,54.35,54.75,146681.0
RNAVAL,20100303,54.5,56.4,54.5,56.0,1267347.0
RNAVAL,20100304,56.25,56.55,55.4,56.0,386478.0
RNAVAL,20100305,56.0,62.7,56.0,61.35,14508946.0
RNAVAL,20100308,62.1,62.5,58.35,58.75,6569050.0
RNAVAL,20100309,58.5,59.95,57.2,57.65,2272331.0
RNAVAL,20100310,58.0,59.85,57.55,59.35,3045433.0
RNAVAL,20100311,59.75,60.7,58.35,60.3,3820584.0
RNAVAL,20100312,60.7,60.7,59.25,59.45,1378596.0
RNAVAL,20100315,58.0,59.75,58.0,58.95,1276133.0
RNAVAL,20100316,58.5,60.0,58.05,59.85,595827.0
RNAVAL,20100317,60.05,60.75,59.3,59.7,973879.0
RNAVAL,20100318,60.0,61.6,59.5,59.85,1665633.0
RNAVAL,20100319,58.1,60.45,58.1,59.65,614687.0
RNAVAL,20100322,59.0,65.4,59.0,62.4,10333798.0
RNAVAL,20100323,63.85,65.7,62.85,64.15,6971591.0
RNAVAL,20100325,64.85,66.1,63.7,64.45,3516822.0
RNAVAL,20100326,64.8,65.5,63.1,63.8,18531059.0
RNAVAL,20100329,62.8,74.95,62.6,69.15,22094384.0
RNAVAL,20100330,70.0,71.4,68.2,70.3,10729801.0
RNAVAL,20100331,70.85,72.5,69.0,70.2,7336239.0
RNAVAL,20100401,70.5,73.7,70.2,72.75,8075730.0
RNAVAL,20100405,73.75,74.9,72.5,74.35,3968660.0
RNAVAL,20100406,75.6,78.1,74.1,77.45,4779151.0
RNAVAL,20100407,78.2,86.95,77.6,85.45,15354289.0
RNAVAL,20100408,85.0,88.75,82.55,83.65,14307864.0
RNAVAL,20100409,84.15,86.5,80.8,85.55,8549116.0
RNAVAL,20100412,86.0,86.05,84.0,84.45,2409444.0
RNAVAL,20100413,84.45,86.4,80.2,85.7,7742631.0
RNAVAL,20100415,86.5,87.5,85.05,86.1,3319458.0
RNAVAL,20100416,86.75,87.8,86.0,86.3,2096068.0
RNAVAL,20100419,85.25,85.95,84.0,85.35,2372788.0
RNAVAL,20100420,86.0,88.3,84.8,86.7,3682168.0
RNAVAL,20100421,87.0,89.2,86.1,86.9,3221988.0
RNAVAL,20100422,86.75,89.2,86.5,88.65,2383864.0
RNAVAL,20100423,88.65,89.45,86.75,87.3,1383791.0
RNAVAL,20100426,87.9,88.45,86.75,87.05,977086.0
RNAVAL,20100427,87.0,87.9,85.75,86.05,1164089.0
RNAVAL,20100428,84.1,88.0,83.3,86.5,1689548.0
RNAVAL,20100429,86.5,87.2,86.25,86.55,543586.0
RNAVAL,20100430,87.2,87.6,85.6,86.35,544936.0
RNAVAL,20100503,86.8,87.0,85.55,86.0,785560.0
RNAVAL,20100504,86.2,86.85,80.55,82.75,1304338.0
RNAVAL,20100505,81.0,83.0,81.0,82.45,1273540.0
RNAVAL,20100506,81.85,84.5,81.0,82.4,666750.0
RNAVAL,20100507,81.75,83.5,80.05,82.9,1894188.0
RNAVAL,20100510,82.8,84.5,82.2,82.85,872743.0
RNAVAL,20100511,83.5,83.5,79.2,80.75,1110022.0
RNAVAL,20100512,81.0,82.4,80.1,81.65,665444.0
RNAVAL,20100513,82.1,83.6,81.2,81.9,650974.0
RNAVAL,20100514,81.5,82.2,79.2,80.7,822957.0
RNAVAL,20100517,80.8,81.1,77.6,80.5,766107.0
RNAVAL,20100518,80.75,82.1,80.0,80.5,402167.0
RNAVAL,20100519,80.1,80.7,76.1,76.85,381913.0
RNAVAL,20100520,76.85,78.85,75.2,76.3,503199.0
RNAVAL,20100521,74.7,77.1,72.3,75.8,512121.0
RNAVAL,20100524,77.7,79.35,77.0,78.35,618421.0
RNAVAL,20100525,77.5,78.25,74.15,74.9,284780.0
RNAVAL,20100526,75.0,80.9,74.15,79.5,771961.0
RNAVAL,20100527,80.6,85.25,80.0,81.4,2308413.0
RNAVAL,20100528,81.4,91.35,81.4,87.4,10525613.0
RNAVAL,20100531,87.4,92.5,85.9,88.0,6777178.0
RNAVAL,20100601,88.0,90.35,84.2,85.7,2452850.0
RNAVAL,20100602,87.9,87.9,85.1,86.2,830429.0
RNAVAL,20100603,87.75,87.75,86.3,86.6,697331.0
RNAVAL,20100604,87.0,87.8,85.25,86.15,1065161.0
RNAVAL,20100607,82.1,87.4,82.1,86.3,1292664.0
RNAVAL,20100608,87.5,87.8,85.2,86.0,853267.0
RNAVAL,20100609,86.15,88.9,84.55,86.7,3923048.0
RNAVAL,20100610,87.6,94.1,87.15,92.55,10867768.0
RNAVAL,20100611,93.85,94.65,92.0,92.45,3559337.0
RNAVAL,20100614,93.7,97.25,92.65,96.2,4314644.0
RNAVAL,20100615,96.9,102.0,96.9,100.55,10696748.0
RNAVAL,20100616,101.3,103.3,99.55,100.2,4734082.0
RNAVAL,20100617,100.95,103.3,100.0,100.25,3986838.0
RNAVAL,20100618,102.9,104.95,100.6,101.9,7407664.0
RNAVAL,20100621,102.55,103.0,98.7,99.7,1705458.0
RNAVAL,20100622,99.5,99.5,95.8,96.85,1585362.0
RNAVAL,20100623,96.85,97.75,96.0,96.95,977039.0
RNAVAL,20100624,96.6,98.5,96.25,97.45,1751521.0
RNAVAL,20100625,98.45,98.9,94.0,94.95,1536210.0
RNAVAL,20100628,95.0,98.45,93.5,97.8,2807941.0
RNAVAL,20100629,98.0,100.45,97.15,97.85,2472440.0
RNAVAL,20100630,97.0,102.3,96.1,100.75,4131769.0
RNAVAL,20100701,99.85,101.0,98.85,99.75,836251.0
RNAVAL,20100702,100.0,102.25,99.15,100.15,1757505.0
RNAVAL,20100705,100.45,100.95,98.3,99.55,543853.0
RNAVAL,20100706,99.95,101.2,99.1,100.25,964852.0
RNAVAL,20100707,99.95,100.65,98.0,98.55,566804.0
RNAVAL,20100708,99.45,101.7,98.75,99.35,1002250.0
RNAVAL,20100709,101.0,102.8,97.15,97.65,3481392.0
RNAVAL,20100712,99.15,99.4,95.55,96.5,2712644.0
RNAVAL,20100713,96.05,97.9,95.85,97.05,1597733.0
RNAVAL,20100714,97.8,98.6,97.0,97.4,733283.0
RNAVAL,20100715,97.4,97.9,95.5,96.6,540056.0
RNAVAL,20100716,96.5,98.2,95.9,97.5,989314.0
RNAVAL,20100719,97.0,98.45,96.5,97.2,969873.0
RNAVAL,20100720,98.0,99.25,97.05,98.05,1219526.0
RNAVAL,20100721,98.55,99.15,97.55,98.4,595480.0
RNAVAL,20100722,98.9,99.3,97.4,98.6,1251427.0
RNAVAL,20100723,99.4,99.8,95.6,96.75,929630.0
RNAVAL,20100726,96.9,97.45,96.1,96.4,535176.0
RNAVAL,20100727,96.45,101.5,96.0,98.65,2193487.0
RNAVAL,20100728,99.1,99.8,97.1,97.8,557844.0
RNAVAL,20100729,97.35,99.0,96.6,98.5,600374.0
RNAVAL,20100730,97.9,99.65,97.35,97.8,603220.0
RNAVAL,20100802,98.0,98.6,96.7,97.2,507740.0
RNAVAL,20100803,97.5,98.9,79.4,97.85,977519.0
RNAVAL,20100804,98.35,98.7,96.8,98.0,1766194.0
RNAVAL,20100805,98.5,103.7,97.8,103.1,7283595.0
RNAVAL,20100806,103.75,107.7,102.0,104.1,6786358.0
RNAVAL,20100809,104.6,109.5,104.6,108.8,4207914.0
RNAVAL,20100810,108.8,114.2,107.5,113.2,5994989.0
RNAVAL,20100811,113.45,113.45,109.7,110.45,2617726.0
RNAVAL,20100812,109.0,112.4,107.5,111.65,1845404.0
RNAVAL,20100813,112.3,117.7,112.0,116.2,5097216.0
RNAVAL,20100816,115.85,116.8,109.6,110.95,2842919.0
RNAVAL,20100817,111.5,111.5,108.0,109.55,1461193.0
RNAVAL,20100818,110.0,110.25,108.25,108.8,873844.0
RNAVAL,20100819,109.5,111.3,109.05,110.25,952887.0
RNAVAL,20100820,109.2,117.35,108.0,115.95,4118179.0
RNAVAL,20100823,116.0,116.75,112.5,113.15,1436144.0
RNAVAL,20100824,113.5,113.6,110.1,110.85,702341.0
RNAVAL,20100825,110.0,110.85,107.25,108.05,881733.0
RNAVAL,20100826,108.4,109.4,105.4,106.1,560200.0
RNAVAL,20100827,106.35,107.0,102.1,102.4,623452.0
RNAVAL,20100830,105.0,119.7,103.1,108.2,3478782.0
RNAVAL,20100831,107.75,108.4,104.0,106.6,1145487.0
RNAVAL,20100901,107.0,110.5,106.15,107.8,793881.0
RNAVAL,20100902,108.5,109.2,106.25,106.9,385939.0
RNAVAL,20100903,107.5,108.5,106.5,107.55,634396.0
RNAVAL,20100906,108.0,108.65,106.95,107.95,383098.0
RNAVAL,20100907,108.05,110.5,107.1,107.85,808535.0
RNAVAL,20100908,107.85,108.6,106.6,107.1,521446.0
RNAVAL,20100909,108.6,108.6,105.3,105.6,644812.0
RNAVAL,20100913,106.2,108.5,104.4,104.8,391261.0
RNAVAL,20100914,105.05,105.45,102.7,104.2,418029.0
RNAVAL,20100915,104.5,104.7,103.1,103.55,475724.0
RNAVAL,20100916,103.0,103.95,99.6,99.95,1238365.0
RNAVAL,20100917,100.5,103.4,98.8,100.8,1109411.0
RNAVAL,20100920,101.95,104.7,100.85,104.0,941109.0
