File_Name,Date,Open,High,Low,Close,Volume
TANTIACONS,20080219,137.8,154.9,134.0,138.0,274745.0
TANTIACONS,20080220,139.0,139.0,129.0,132.1,14214.0
TANTIACONS,20080221,133.1,136.0,125.75,131.55,5893.0
TANTIACONS,20080222,132.0,132.0,127.0,128.25,4334.0
TANTIACONS,20080225,128.5,130.0,126.6,127.3,2054.0
TANTIACONS,20080226,130.0,145.0,129.15,132.7,35244.0
TANTIACONS,20080227,134.0,136.7,127.1,128.7,5552.0
TANTIACONS,20080228,129.2,137.0,128.1,133.75,25950.0
TANTIACONS,20080229,133.0,133.4,125.5,130.4,7480.0
TANTIACONS,20080303,127.5,131.4,122.0,123.3,3569.0
TANTIACONS,20080304,124.0,124.0,115.0,119.35,55473.0
TANTIACONS,20080305,120.0,120.0,116.0,116.45,72447.0
TANTIACONS,20080307,115.0,116.0,93.65,95.3,37934.0
TANTIACONS,20080310,92.0,95.0,87.15,92.55,87716.0
TANTIACONS,20080311,94.8,101.9,90.05,99.5,9917.0
TANTIACONS,20080312,105.0,109.0,98.0,99.65,16611.0
TANTIACONS,20080313,99.7,103.4,95.0,95.2,3056.0
TANTIACONS,20080314,102.95,102.95,81.3,88.9,58573.0
TANTIACONS,20080317,83.2,90.0,78.65,80.55,17553.0
TANTIACONS,20080318,82.5,85.0,78.5,81.0,14591.0
TANTIACONS,20080319,87.0,87.0,80.0,80.0,27215.0
TANTIACONS,20080324,82.7,82.7,73.25,75.15,1725.0
TANTIACONS,20080325,78.85,87.9,75.2,85.7,6937.0
TANTIACONS,20080326,90.0,90.0,81.55,85.55,8234.0
TANTIACONS,20080327,88.45,91.85,81.15,88.5,124780.0
TANTIACONS,20080328,89.0,98.85,89.0,96.65,7923.0
TANTIACONS,20080331,95.0,95.0,90.75,91.25,3704.0
TANTIACONS,20080401,91.25,92.0,90.1,91.0,977.0
TANTIACONS,20080402,94.0,94.0,90.25,92.9,4163.0
TANTIACONS,20080403,94.0,94.0,89.5,91.45,13695.0
TANTIACONS,20080404,91.0,92.8,88.25,89.75,989.0
TANTIACONS,20080407,88.1,107.7,84.05,106.1,18588.0
TANTIACONS,20080408,107.0,109.9,102.0,103.95,17841.0
TANTIACONS,20080409,99.5,124.75,99.5,111.9,23735.0
TANTIACONS,20080410,130.0,130.0,114.0,118.65,19118.0
TANTIACONS,20080411,118.0,120.0,114.05,115.0,4861.0
TANTIACONS,20080415,114.35,119.0,112.1,113.65,2041.0
TANTIACONS,20080416,117.95,118.0,112.1,113.65,1526.0
TANTIACONS,20080417,114.4,116.9,112.05,113.5,1712.0
TANTIACONS,20080421,113.1,115.95,113.1,114.65,1993.0
TANTIACONS,20080422,111.0,120.0,110.0,113.35,1563.0
TANTIACONS,20080423,111.35,119.7,111.35,116.45,4388.0
TANTIACONS,20080424,116.1,118.35,113.0,116.0,2722.0
TANTIACONS,20080425,114.1,118.0,112.0,117.0,6533.0
TANTIACONS,20080428,113.35,117.9,113.35,116.6,890.0
TANTIACONS,20080429,115.1,116.1,113.8,114.65,2992.0
TANTIACONS,20080430,114.65,116.0,112.55,112.85,2444.0
TANTIACONS,20080502,114.3,116.05,114.3,115.5,814.0
TANTIACONS,20080505,115.0,118.0,109.0,110.45,6076.0
TANTIACONS,20080506,109.5,111.8,106.15,107.0,16179.0
TANTIACONS,20080507,107.0,107.0,96.1,100.5,14206.0
TANTIACONS,20080508,100.0,103.0,98.0,101.75,3714.0
TANTIACONS,20080509,100.2,101.85,99.0,99.25,871.0
TANTIACONS,20080512,97.15,109.3,94.2,96.95,4073.0
TANTIACONS,20080513,101.65,103.0,97.0,97.85,1822.0
TANTIACONS,20080514,95.2,97.0,94.0,95.7,2395.0
TANTIACONS,20080515,95.0,98.0,95.0,96.5,12803.0
TANTIACONS,20080516,99.5,100.0,94.5,98.05,6851.0
TANTIACONS,20080520,100.0,101.15,97.0,98.25,1373.0
TANTIACONS,20080521,97.0,102.4,95.9,101.05,4511.0
TANTIACONS,20080522,96.2,101.65,96.0,96.9,3538.0
TANTIACONS,20080523,100.9,100.9,93.1,94.95,1401.0
TANTIACONS,20080526,93.1,97.9,91.1,94.45,1267.0
TANTIACONS,20080527,97.9,97.9,92.1,92.65,1076.0
