File_Name,Date,Open,High,Low,Close,Volume
TIL,19950526,53.0,53.0,53.0,53.0,100.0
TIL,19950529,50.0,50.0,50.0,50.0,100.0
TIL,19950530,50.0,50.0,50.0,50.0,400.0
TIL,19950531,51.0,51.0,51.0,51.0,100.0
TIL,19950927,48.0,48.0,48.0,48.0,300.0
TIL,19951010,55.0,55.0,55.0,55.0,200.0
TIL,19951011,55.0,55.0,55.0,55.0,2100.0
TIL,19951012,54.0,55.0,54.0,55.0,1400.0
TIL,19960315,45.0,45.0,45.0,45.0,100.0
TIL,19960418,45.0,45.0,45.0,45.0,200.0
TIL,19960419,43.5,44.0,43.5,44.0,800.0
TIL,19960422,45.0,45.15,45.0,45.1,600.0
TIL,19960501,42.0,42.0,42.0,42.0,100.0
TIL,19960502,41.0,41.0,41.0,41.0,100.0
TIL,19960507,41.0,43.0,43.0,43.0,100.0
TIL,19960508,42.5,43.0,42.5,43.0,800.0
TIL,19960510,41.0,41.0,41.0,41.0,500.0
TIL,19960607,40.0,40.0,40.0,40.0,100.0
TIL,19960613,40.0,41.0,40.0,40.0,1500.0
TIL,19960619,40.0,40.0,40.0,40.0,400.0
TIL,19960620,41.5,41.5,41.5,41.5,100.0
TIL,19960624,42.0,42.0,40.0,41.0,800.0
TIL,19960625,42.0,44.0,42.0,43.0,1000.0
TIL,19960626,43.0,43.95,43.0,43.6,2300.0
TIL,19960627,42.0,42.0,40.0,40.1,400.0
TIL,19960628,40.0,41.5,40.0,41.5,600.0
TIL,19960701,39.5,39.95,39.5,39.95,400.0
TIL,19960704,39.0,40.0,39.0,40.0,200.0
TIL,19960709,40.0,40.0,40.0,40.0,200.0
TIL,19960719,40.0,40.0,40.0,40.0,300.0
TIL,19960801,36.0,36.0,36.0,36.0,100.0
TIL,19960805,34.0,34.0,34.0,34.0,100.0
TIL,19960806,32.0,32.0,32.0,32.0,100.0
TIL,19960816,31.0,31.0,31.0,31.0,100.0
TIL,19960829,32.5,32.5,32.5,32.5,100.0
TIL,19960830,32.45,32.5,32.45,32.5,700.0
TIL,19960902,33.5,33.5,33.5,33.5,900.0
TIL,19960903,34.0,34.0,33.0,33.0,1100.0
TIL,19960904,34.0,36.0,34.0,36.0,400.0
TIL,19960905,36.0,37.0,34.25,34.6,2100.0
TIL,19960906,34.25,37.0,34.25,34.75,900.0
TIL,19960912,34.75,34.75,34.75,34.75,200.0
TIL,19960916,33.05,33.05,33.05,33.05,200.0
TIL,19960917,33.05,33.05,33.05,33.05,100.0
TIL,19960923,32.95,32.95,32.95,32.95,300.0
TIL,19960924,33.5,34.0,33.5,33.5,500.0
TIL,19960925,33.75,33.75,33.75,33.75,200.0
TIL,19960930,33.0,33.0,33.0,33.0,200.0
TIL,19961003,31.25,31.25,31.0,31.0,400.0
TIL,19961004,31.5,31.9,31.4,31.9,800.0
TIL,19961007,30.1,30.1,30.1,30.1,100.0
TIL,19961008,30.25,30.9,30.25,30.65,900.0
TIL,19961009,30.0,30.0,30.0,30.0,200.0
TIL,19961015,30.0,30.0,30.0,30.0,300.0
TIL,19961016,32.0,32.0,32.0,32.0,300.0
TIL,19961017,33.4,34.25,33.4,34.25,700.0
TIL,19961018,35.75,35.9,35.75,35.9,500.0
