File_Name,Date,Open,High,Low,Close,Volume
UNITECH,19950102,60.0,60.0,60.0,60.0,100.0
UNITECH,19950103,55.0,57.5,55.0,57.5,200.0
UNITECH,19950104,55.0,55.5,55.0,55.5,200.0
UNITECH,19950109,55.0,55.0,55.0,55.0,100.0
UNITECH,19950306,51.25,51.25,51.25,51.25,100.0
UNITECH,19950307,51.5,51.5,50.5,50.9,700.0
UNITECH,19950308,51.5,51.5,51.5,51.5,100.0
UNITECH,19950310,54.0,55.0,54.0,55.0,5200.0
UNITECH,19950313,55.5,55.5,55.5,55.5,300.0
UNITECH,19950314,55.0,55.0,55.0,55.0,200.0
UNITECH,19950315,55.0,56.0,55.0,56.0,600.0
UNITECH,19950316,56.0,56.0,56.0,56.0,300.0
UNITECH,19950323,55.1,55.1,55.1,55.1,300.0
UNITECH,19950327,58.0,58.0,58.0,58.0,100.0
UNITECH,19950328,58.0,58.0,57.0,57.0,400.0
UNITECH,19950329,59.0,59.0,59.0,59.0,200.0
UNITECH,19950330,59.5,59.5,59.5,59.5,100.0
UNITECH,19950331,60.0,61.0,60.0,61.0,400.0
UNITECH,19950405,59.0,59.0,59.0,59.0,500.0
UNITECH,19950406,57.75,57.75,57.75,57.75,200.0
UNITECH,19950407,59.1,59.1,59.1,59.1,400.0
UNITECH,19950410,59.75,59.75,59.5,59.5,200.0
UNITECH,19950411,58.75,58.75,58.75,58.75,500.0
UNITECH,19950417,60.25,60.25,59.9,60.25,900.0
UNITECH,19950418,59.5,60.0,59.5,60.0,200.0
UNITECH,19950419,59.5,60.0,59.5,59.6,300.0
UNITECH,19950420,59.5,60.0,58.0,60.0,1200.0
UNITECH,19950421,59.5,60.5,59.5,60.05,700.0
UNITECH,19950424,60.0,60.0,59.5,59.6,1400.0
UNITECH,19950425,59.5,60.0,59.5,59.75,900.0
UNITECH,19950426,59.5,60.6,59.5,60.6,600.0
UNITECH,19950427,60.0,62.5,60.0,62.5,700.0
UNITECH,19950428,60.6,61.5,60.5,61.5,2100.0
UNITECH,19950502,60.0,60.0,59.5,59.5,500.0
UNITECH,19950503,57.0,57.5,57.0,57.5,300.0
UNITECH,19950504,58.0,61.0,58.0,61.0,700.0
UNITECH,19950505,59.5,60.0,59.5,60.0,300.0
UNITECH,19950508,58.6,60.0,58.6,60.0,200.0
