Nifty Total Market,20211014,8769.06,8769.06,8769.06,8769.06,0
Nifty Total Market,20211018,8833.94,8833.94,8833.94,8833.94,0
Nifty Total Market,20211019,8759.83,8759.83,8759.83,8759.83,0
Nifty Total Market,20211020,8653.04,8653.04,8653.04,8653.04,0
Nifty Total Market,20211021,8609.80,8609.80,8609.80,8609.80,0
Nifty Total Market,20211022,8559.51,8559.51,8559.51,8559.51,0
Nifty Total Market,20211025,8520.15,8520.15,8520.15,8520.15,0
Nifty Total Market,20211026,8614.47,8614.47,8614.47,8614.47,0
Nifty Total Market,20211027,8606.36,8606.36,8606.36,8606.36,0
Nifty Total Market,20211028,8442.82,8442.82,8442.82,8442.82,0
Nifty Total Market,20211029,8385.28,8385.28,8385.28,8385.28,0
Nifty Total Market,20211101,8504.80,8504.80,8504.80,8504.80,0
Nifty Total Market,20211102,8513.88,8513.88,8513.88,8513.88,0
Nifty Total Market,20211103,8495.57,8495.57,8495.57,8495.57,0
Nifty Total Market,20211104,8549.89,8549.89,8549.89,8549.89,0
Nifty Total Market,20211108,8629.07,8629.07,8629.07,8629.07,0
Nifty Total Market,20211109,8642.48,8642.48,8642.48,8642.48,0
Nifty Total Market,20211110,8631.01,8631.01,8631.01,8631.01,0
Nifty Total Market,20211111,8570.51,8570.51,8570.51,8570.51,0
Nifty Total Market,20211112,8661.23,8661.23,8661.23,8661.23,0
Nifty Total Market,20211115,8666.00,8666.00,8666.00,8666.00,0
Nifty Total Market,20211116,8630.44,8630.44,8630.44,8630.44,0
Nifty Total Market,20211117,8592.15,8592.15,8592.15,8592.15,0
Nifty Total Market,20211118,8506.05,8506.05,8506.05,8506.05,0
Nifty Total Market,20211122,8322.44,8322.44,8322.44,8322.44,0
Nifty Total Market,20211123,8398.30,8398.30,8398.30,8398.30,0
Nifty Total Market,20211124,8366.85,8366.85,8366.85,8366.85,0
Nifty Total Market,20211125,8426.07,8426.07,8426.07,8426.07,0
Nifty Total Market,20211126,8179.27,8179.27,8179.27,8179.27,0
Nifty Total Market,20211129,8146.68,8146.68,8146.68,8146.68,0
